time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,src,dst,delay_ms,bandwidth,loss,jitter_ms,queue_delay_ms,bandwidth_util
0,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.80009,51.69926,0.000257,0.57727,0.6978,0.37759
0,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.65991,51.84635,0.00157,0.171,0.75504,0.3722
0,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.77679,51.11443,0.000389,0.46597,0.90306,0.39903
0,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.03026,51.65792,0.001048,0.48495,0.79854,0.37911
0,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.87842,51.72425,0.001874,0.674,0.7814,0.37668
0,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.22473,51.9945,0.0,0.63856,0.78753,0.36677
0,normal,-1,0.0,,,-1,-1,edge_2,edge_3,11.20299,51.19377,0.001069,0.53791,0.93193,0.39612
0,normal,-1,0.0,,,-1,-1,edge_3,edge_4,11.17826,51.59348,0.0,0.94742,0.89548,0.38147
0,normal,-1,0.0,,,-1,-1,edge_4,edge_0,8.68528,51.94535,0.003125,0.77564,0.67224,0.36857
0,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,38.79539,70.53472,0.002085,2.41219,2.96813,0.36432
0,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.54799,70.27255,0.0,2.02883,2.92863,0.37141
0,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,39.27292,69.75407,0.002445,2.36963,3.17886,0.38544
1,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.81873,51.85515,0.000535,0.88969,0.68869,0.37188
1,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.80359,51.03748,0.0,0.77626,0.9117,0.40185
1,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.50758,52.32122,0.0,0.36045,0.78289,0.35479
1,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.09264,52.09533,0.00247,0.63872,0.69327,0.36307
1,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.64916,51.20707,0.004368,0.55443,0.88477,0.39564
1,normal,-1,0.0,,,-1,-1,edge_1,edge_2,11.49947,51.93,0.004131,0.71147,0.89142,0.36913
1,normal,-1,0.0,,,-1,-1,edge_2,edge_3,10.08905,51.27974,0.001643,0.5746,0.83259,0.39297
1,normal,-1,0.0,,,-1,-1,edge_3,edge_4,10.35828,51.58689,0.000895,0.78399,0.83032,0.38171
1,normal,-1,0.0,,,-1,-1,edge_4,edge_0,11.22095,51.18862,0.002024,0.86781,0.93387,0.39631
1,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,38.59025,68.2212,0.00248,2.37902,3.4597,0.42692
1,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,38.54813,69.2881,0.004533,2.2895,3.22225,0.39805
1,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,38.21296,69.1721,0.0029,2.42513,3.21942,0.40119
2,normal,-1,0.0,,,-1,-1,access_0,edge_0,11.83164,51.65301,0.002796,0.85056,0.9424,0.37929
2,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.91808,51.48634,0.001836,0.61451,0.80271,0.3854
2,normal,-1,0.0,,,-1,-1,access_1,edge_2,11.33085,51.54588,0.000939,0.47135,0.91185,0.38322
