split,scenario,count,ratio,present
train,burst,80,0.16129032258064516,1
train,link_congestion,85,0.17137096774193547,1
train,mixed,80,0.16129032258064516,1
train,node_overload,91,0.18346774193548387,1
train,normal,160,0.3225806451612903,1
val,burst,31,0.18452380952380953,1
val,link_congestion,28,0.16666666666666666,1
val,mixed,24,0.14285714285714285,1
val,node_overload,30,0.17857142857142858,1
val,normal,55,0.3273809523809524,1
test,burst,28,0.16666666666666666,1
test,link_congestion,27,0.16071428571428573,1
test,mixed,21,0.125,1
test,node_overload,34,0.20238095238095238,1
test,normal,58,0.34523809523809523,1
