time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,node_id,node_type,cpu_util,mem_util,queue_len,available_cpu,available_mem,request_load_on_node,node_degree
0,normal,-1,0.0,,,-1,-1,access_0,access,0.25123,0.25516,0.0,0.74877,0.74484,0.3024,2
0,normal,-1,0.0,,,-1,-1,access_1,access,0.22141,0.24327,0.0,0.77859,0.75673,0.3024,2
0,normal,-1,0.0,,,-1,-1,edge_0,edge,0.33748,0.4398,0.0,0.66252,0.5602,0.6805,4
0,normal,-1,0.0,,,-1,-1,edge_1,edge,0.3558,0.44796,0.0,0.6442,0.55204,0.6805,3
0,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41751,0.49191,0.0,0.58249,0.50809,0.6805,4
0,normal,-1,0.0,,,-1,-1,edge_3,edge,0.32849,0.42808,0.0,0.67151,0.57192,0.6805,3
0,normal,-1,0.0,,,-1,-1,edge_4,edge,0.38878,0.47632,0.0,0.61122,0.52368,0.6805,3
0,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38739,0.48198,0.0,0.61261,0.51802,0.538,3
1,normal,-1,0.0,,,-1,-1,access_0,access,0.22968,0.25132,0.0,0.77032,0.74868,0.30629,2
1,normal,-1,0.0,,,-1,-1,access_1,access,0.22911,0.26717,0.0,0.77089,0.73283,0.30629,2
1,normal,-1,0.0,,,-1,-1,edge_0,edge,0.34017,0.43423,0.0,0.65983,0.56577,0.69143,4
1,normal,-1,0.0,,,-1,-1,edge_1,edge,0.37616,0.46287,0.0,0.62384,0.53713,0.69143,3
1,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41787,0.48764,0.0,0.58213,0.51236,0.69143,4
1,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36628,0.45787,0.0,0.63372,0.54213,0.69143,3
1,normal,-1,0.0,,,-1,-1,edge_4,edge,0.37866,0.46494,0.0,0.62134,0.53506,0.69143,3
1,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38356,0.48447,0.0,0.61644,0.51553,0.54286,3
2,normal,-1,0.0,,,-1,-1,access_0,access,0.23412,0.24549,0.0,0.76588,0.75451,0.30988,2
2,normal,-1,0.0,,,-1,-1,access_1,access,0.21727,0.25309,0.0,0.78273,0.74691,0.30988,2
2,normal,-1,0.0,,,-1,-1,edge_0,edge,0.37731,0.47538,0.0,0.62269,0.52462,0.70154,4
2,normal,-1,0.0,,,-1,-1,edge_1,edge,0.37665,0.46372,0.0,0.62335,0.53628,0.70154,3
2,normal,-1,0.0,,,-1,-1,edge_2,edge,0.43119,0.48657,0.0,0.56881,0.51343,0.70154,4
2,normal,-1,0.0,,,-1,-1,edge_3,edge,0.36707,0.44575,0.0,0.63293,0.55425,0.70154,3
2,normal,-1,0.0,,,-1,-1,edge_4,edge,0.37882,0.45881,0.0,0.62118,0.54119,0.70154,3
2,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38402,0.45446,0.0,0.61598,0.54554,0.54735,3
3,normal,-1,0.0,,,-1,-1,access_0,access,0.22272,0.25423,0.0,0.77728,0.74577,0.31292,2
3,normal,-1,0.0,,,-1,-1,access_1,access,0.23793,0.26035,0.0,0.76207,0.73965,0.31292,2
3,normal,-1,0.0,,,-1,-1,edge_0,edge,0.36154,0.46052,0.0,0.63846,0.53948,0.7101,4
3,normal,-1,0.0,,,-1,-1,edge_1,edge,0.38098,0.46315,0.0,0.61902,0.53685,0.7101,3
