time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
0,normal,-1,0.0,,,-1,-1,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,46.33989,0.002156,cloud_0,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,1,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,56.04646,0.007242,edge_4,edge_3-edge_4
0,normal,-1,0.0,,,-1,-1,2,access_0|edge_1|edge_2|edge_3|edge_4|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-edge_3|edge_3-edge_4|edge_4-cloud_0,75.98618,0.011695,edge_2,edge_3-edge_4
0,normal,-1,0.0,,,-1,-1,3,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,56.35047,0.00316,edge_4,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,4,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,46.33989,0.002156,cloud_0,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,5,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,56.04646,0.007242,edge_4,edge_3-edge_4
0,normal,-1,0.0,,,-1,-1,6,access_1|edge_3|edge_2|cloud_0,access_1-edge_3|edge_2-edge_3|edge_2-cloud_0,55.69873,0.009477,edge_2,access_1-edge_3
0,normal,-1,0.0,,,-1,-1,7,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,56.35047,0.00316,edge_4,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,8,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,46.33989,0.002156,cloud_0,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,9,access_1|edge_2|edge_1|edge_0|edge_4|cloud_0,access_1-edge_2|edge_1-edge_2|edge_0-edge_1|edge_4-edge_0|edge_4-cloud_0,77.18277,0.00446,edge_2,edge_1-edge_2
0,normal,-1,0.0,,,-1,-1,10,access_1|edge_3|edge_2|cloud_0,access_1-edge_3|edge_2-edge_3|edge_2-cloud_0,55.69873,0.009477,edge_2,access_1-edge_3
0,normal,-1,0.0,,,-1,-1,11,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,56.35047,0.00316,edge_4,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,12,access_0|edge_1|edge_2|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-cloud_0,57.79636,0.005121,edge_2,edge_2-cloud_0
0,normal,-1,0.0,,,-1,-1,13,access_1|edge_2|edge_1|edge_0|edge_4|cloud_0,access_1-edge_2|edge_1-edge_2|edge_0-edge_1|edge_4-edge_0|edge_4-cloud_0,77.18277,0.00446,edge_2,edge_1-edge_2
0,normal,-1,0.0,,,-1,-1,14,access_1|edge_3|edge_2|cloud_0,access_1-edge_3|edge_2-edge_3|edge_2-cloud_0,55.69873,0.009477,edge_2,access_1-edge_3
0,normal,-1,0.0,,,-1,-1,15,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,47.7474,0.00397,edge_2,edge_2-cloud_0
0,normal,-1,0.0,,,-1,-1,16,access_0|edge_1|edge_2|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-cloud_0,57.79636,0.005121,edge_2,edge_2-cloud_0
0,normal,-1,0.0,,,-1,-1,17,access_1|edge_2|edge_1|edge_0|edge_4|cloud_0,access_1-edge_2|edge_1-edge_2|edge_0-edge_1|edge_4-edge_0|edge_4-cloud_0,77.18277,0.00446,edge_2,edge_1-edge_2
0,normal,-1,0.0,,,-1,-1,18,access_1|edge_2|edge_1|edge_0|cloud_0,access_1-edge_2|edge_1-edge_2|edge_0-edge_1|edge_0-cloud_0,67.17219,0.003457,edge_2,edge_1-edge_2
0,normal,-1,0.0,,,-1,-1,19,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,47.7474,0.00397,edge_2,edge_2-cloud_0
0,normal,-1,0.0,,,-1,-1,20,access_0|edge_1|edge_2|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-cloud_0,57.79636,0.005121,edge_2,edge_2-cloud_0
0,normal,-1,0.0,,,-1,-1,21,access_0|edge_1|edge_0|cloud_0,access_0-edge_1|edge_0-edge_1|edge_0-cloud_0,56.88757,0.004609,cloud_0,edge_0-cloud_0
