time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,service_id,user_id,service_type,request_rate,response_time,base_response_time,dependency_count,current_edge,cloud_node,last_violation
0,normal,-1,0.0,,,-1,-1,0,0,latency,6.47852,52.40024,34.0,1,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,1,1,reliability,7.34656,82.10486,55.5,2,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,2,2,cost,10.17425,103.57142,73.0,3,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,3,3,latency,11.65615,62.5481,38.5,4,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,4,4,reliability,13.50573,83.22766,60.0,5,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,5,5,cost,15.44108,97.05483,70.0,1,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,6,6,latency,17.17303,63.29992,35.5,2,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,7,7,reliability,18.71731,83.0527,57.0,3,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,8,8,cost,20.93164,100.32417,74.5,4,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,9,9,latency,23.14597,77.23621,40.0,5,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,10,10,reliability,25.07064,88.17694,54.0,1,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,11,11,cost,6.99616,93.84593,71.5,2,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,12,12,latency,8.4003,60.01933,37.0,3,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,13,13,reliability,10.98706,90.14219,58.5,4,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,14,14,cost,12.03221,101.15628,76.0,5,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,15,15,latency,14.01318,59.68511,34.0,1,edge_2,cloud_0,0
0,normal,-1,0.0,,,-1,-1,16,16,reliability,15.77172,84.45162,55.5,2,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,17,17,cost,17.90853,109.59619,73.0,3,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,18,18,latency,19.86935,72.55494,38.5,4,edge_2,cloud_0,0
0,normal,-1,0.0,,,-1,-1,19,19,reliability,21.27188,87.03057,60.0,5,edge_2,cloud_0,0
0,normal,-1,0.0,,,-1,-1,20,20,cost,22.49757,98.73963,70.0,1,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,21,21,latency,24.27303,67.25848,35.5,2,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,22,22,reliability,6.20011,84.32066,57.0,3,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,23,23,cost,8.24781,96.07125,74.5,4,edge_2,cloud_0,0
0,normal,-1,0.0,,,-1,-1,24,24,latency,10.20142,72.36797,40.0,5,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,25,25,reliability,10.8462,79.71358,54.0,1,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,26,26,cost,12.88905,101.4982,71.5,2,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,27,27,latency,15.09142,62.02487,37.0,3,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,28,28,reliability,16.33006,94.24928,58.5,4,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,29,29,cost,18.0852,102.48141,76.0,5,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,30,30,latency,18.35297,58.23943,34.0,1,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,31,31,reliability,19.91893,81.79565,55.5,2,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,32,32,cost,21.90889,109.6162,73.0,3,edge_1,cloud_0,0
0,normal,-1,0.0,,,-1,-1,33,33,latency,5.78676,60.10926,38.5,4,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,34,34,reliability,8.07267,79.90897,60.0,5,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,35,35,cost,8.71137,94.35001,70.0,1,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,36,36,latency,9.91611,59.91179,35.5,2,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,37,37,reliability,11.58161,83.80272,57.0,3,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,38,38,cost,12.25123,98.75896,74.5,4,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,39,39,latency,13.83047,75.24483,40.0,5,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,40,40,reliability,15.86104,80.47211,54.0,1,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,41,41,cost,16.15014,96.90781,71.5,2,edge_4,cloud_0,0
