check,status,detail,value,threshold
high_label_shift,pass,test violated ratio - train violated ratio = 0.0223,0.02232104448077088,0.2
label_ratio_spread_normal,pass,normal ratio spread across train/val/test = 0.0340,0.03403219908801519,0.2
label_ratio_spread_risky,pass,risky ratio spread across train/val/test = 0.0117,0.011711154607244256,0.2
label_ratio_spread_violated,pass,violated ratio spread across train/val/test = 0.0223,0.02232104448077088,0.2
scenario_coverage_train,pass,all scenarios present,0,0
scenario_block_bias_train,pass,top scenario normal ratio = 0.3452,0.34521186440677964,0.45
scenario_coverage_val,pass,all scenarios present,0,0
scenario_block_bias_val,pass,top scenario normal ratio = 0.3178,0.3177664974619289,0.45
scenario_coverage_test,pass,all scenarios present,0,0
scenario_block_bias_test,pass,top scenario normal ratio = 0.3378,0.33775380710659897,0.45
node_attribution_concentration,pass,"top risk_node=2, ratio=0.3682",0.36818131318742364,0.5
link_attribution_concentration,pass,"top risk_link=1, ratio=0.3397",0.33965114987223644,0.5
metric_coverage_delay,pass,delay ratio = 0.1500,0.15004999444506165,>0
metric_coverage_loss,pass,loss ratio = 0.2793,0.2793467392511943,>0
metric_coverage_cpu,pass,cpu ratio = 0.0069,0.0068881235418286856,>0
metric_coverage_queue,pass,queue ratio = 0.4809,0.48094656149316745,>0
metric_coverage_bandwidth,pass,bandwidth ratio = 0.0828,0.08276858126874792,>0
metric_coverage_train_delay,pass,train delay ratio = 0.1625,0.16245051837888785,>0
metric_coverage_train_loss,pass,train loss ratio = 0.2850,0.28497643732327993,>0
metric_coverage_train_cpu,pass,train cpu ratio = 0.0065,0.00648444863336475,>0
metric_coverage_train_queue,pass,train queue ratio = 0.4667,0.4666540999057493,>0
metric_coverage_train_bandwidth,pass,train bandwidth ratio = 0.0794,0.0794344957587182,>0
queue_metric_min_ratio_train,pass,train queue ratio = 0.4667,0.4666540999057493,0.05
metric_coverage_val_delay,pass,val delay ratio = 0.1384,0.13843952899746892,>0
metric_coverage_val_loss,pass,val loss ratio = 0.2918,0.2918454935622318,>0
metric_coverage_val_cpu,pass,val cpu ratio = 0.0116,0.011554968636513702,>0
metric_coverage_val_queue,pass,val queue ratio = 0.4408,0.4408495653130846,>0
metric_coverage_val_bandwidth,pass,val bandwidth ratio = 0.1173,0.11731044349070101,>0
queue_metric_min_ratio_val,pass,val queue ratio = 0.4408,0.4408495653130846,0.05
metric_coverage_test_delay,pass,test delay ratio = 0.1263,0.12626423932715852,>0
metric_coverage_test_loss,pass,test loss ratio = 0.2514,0.25135739380389654,>0
metric_coverage_test_cpu,pass,test cpu ratio = 0.0035,0.0035132545512615776,>0
metric_coverage_test_queue,pass,test queue ratio = 0.5601,0.5600979452783988,>0
metric_coverage_test_bandwidth,pass,test bandwidth ratio = 0.0588,0.05876716703928457,>0
queue_metric_min_ratio_test,pass,test queue ratio = 0.5601,0.5600979452783988,0.05
