split,scenario,label_id,label,count,ratio_within_scenario
train,burst,0,normal,2863,0.3692764091319489
train,burst,1,risky,2444,0.31523281310460466
train,burst,2,violated,2446,0.3154907777634464
train,link_congestion,0,normal,3472,0.444672131147541
train,link_congestion,1,risky,2290,0.2932889344262295
train,link_congestion,2,violated,2046,0.2620389344262295
train,mixed,0,normal,2726,0.3554106910039113
train,mixed,1,risky,2397,0.31251629726206
train,mixed,2,violated,2547,0.3320730117340287
train,node_overload,0,normal,2904,0.378371335504886
train,node_overload,1,risky,2853,0.37172638436482086
train,node_overload,2,violated,1918,0.24990228013029317
train,normal,0,normal,8710,0.5345525960476248
train,normal,1,risky,4941,0.30324045660979504
train,normal,2,violated,2643,0.1622069473425801
val,burst,0,normal,1010,0.3660746647335991
val,burst,1,risky,899,0.3258426966292135
val,burst,2,violated,850,0.3080826386371874
val,link_congestion,0,normal,951,0.3489908256880734
val,link_congestion,1,risky,887,0.3255045871559633
val,link_congestion,2,violated,887,0.3255045871559633
val,mixed,0,normal,912,0.346636259977195
val,mixed,1,risky,905,0.34397567464842266
val,mixed,2,violated,814,0.30938806537438235
val,node_overload,0,normal,1146,0.43458475540386804
val,node_overload,1,risky,906,0.3435722411831627
val,node_overload,2,violated,585,0.22184300341296928
val,normal,0,normal,2654,0.5299520766773163
val,normal,1,risky,1438,0.28714057507987223
val,normal,2,violated,916,0.1829073482428115
test,burst,0,normal,868,0.33513513513513515
test,burst,1,risky,861,0.3324324324324324
test,burst,2,violated,861,0.3324324324324324
test,link_congestion,0,normal,1152,0.44273635664873173
test,link_congestion,1,risky,816,0.31360491929285167
test,link_congestion,2,violated,634,0.2436587240584166
test,mixed,0,normal,931,0.35412704450361354
test,mixed,1,risky,717,0.2727272727272727
test,mixed,2,violated,981,0.37314568276911375
test,node_overload,0,normal,1014,0.3876146788990826
test,node_overload,1,risky,937,0.3581804281345566
test,node_overload,2,violated,665,0.25420489296636084
test,normal,0,normal,2402,0.4512492955100507
test,normal,1,risky,1837,0.3451061431523577
test,normal,2,violated,1084,0.2036445613375916
