split,field,value,value_name,count,ratio
train,risk_node,1,1,10008,0.37730442978322337
train,risk_node,2,2,9520,0.3589066918001885
train,risk_node,3,3,2560,0.09651272384542885
train,risk_node,4,4,2936,0.1106880301602262
train,risk_node,5,5,657,0.02476908576814326
train,risk_node,6,6,844,0.03181903864278982
train,risk_link,0,0,6297,0.23739868049010368
train,risk_link,1,1,8853,0.33376060320452405
train,risk_link,2,2,5500,0.20735155513666353
train,risk_link,3,3,2659,0.10024505183788879
train,risk_link,4,4,1133,0.042714420358152684
train,risk_link,5,5,469,0.01768143261074458
train,risk_link,6,6,297,0.01119698397737983
train,risk_link,7,7,374,0.01409990574929312
train,risk_link,8,8,434,0.016361922714420357
train,risk_link,9,9,509,0.019189443920829406
train,risk_metric,0,delay,4309,0.16245051837888785
train,risk_metric,1,loss,7559,0.28497643732327993
train,risk_metric,2,cpu,172,0.00648444863336475
train,risk_metric,3,queue,12378,0.4666540999057493
train,risk_metric,4,bandwidth,2107,0.0794344957587182
val,risk_node,1,1,2876,0.3164960933201277
val,risk_node,2,2,3508,0.38604599977990534
val,risk_node,3,3,698,0.07681302960272918
val,risk_node,4,4,1362,0.14988445031363487
val,risk_node,5,5,126,0.013865962363816441
val,risk_node,6,6,517,0.056894464619786506
val,risk_link,0,0,1792,0.19720479806316715
val,risk_link,1,1,3359,0.3696489490480907
val,risk_link,2,2,1650,0.18157807857378672
val,risk_link,3,3,1241,0.13656872455155716
val,risk_link,4,4,266,0.029272587212501377
val,risk_link,5,5,94,0.010344448112688457
val,risk_link,6,6,81,0.008913832948167713
val,risk_link,7,7,185,0.020358754264333662
val,risk_link,8,8,102,0.011224826675470452
val,risk_link,9,9,317,0.0348850005502366
val,risk_metric,0,delay,1258,0.13843952899746892
val,risk_metric,1,loss,2652,0.2918454935622318
val,risk_metric,2,cpu,105,0.011554968636513702
val,risk_metric,3,queue,4006,0.4408495653130846
val,risk_metric,4,bandwidth,1066,0.11731044349070101
test,risk_node,1,1,2880,0.3066113062919195
test,risk_node,2,2,3542,0.37708932183540933
test,risk_node,3,3,811,0.0863408921537315
test,risk_node,4,4,1559,0.16597466198232727
test,risk_node,5,5,115,0.012243159799850953
test,risk_node,6,6,486,0.05174065793676142
test,risk_link,0,0,2096,0.22314489513467475
test,risk_link,1,1,3074,0.3272649845629724
test,risk_link,2,2,2271,0.24177579048227404
test,risk_link,3,3,825,0.08783136378153944
test,risk_link,4,4,343,0.03651655488129458
test,risk_link,5,5,165,0.01756627275630789
test,risk_link,6,6,119,0.012669008836367507
test,risk_link,7,7,177,0.018843819865857554
test,risk_link,8,8,239,0.025444479931864154
test,risk_link,9,9,84,0.008942829766847652
test,risk_metric,0,delay,1186,0.12626423932715852
test,risk_metric,1,loss,2361,0.25135739380389654
test,risk_metric,2,cpu,33,0.0035132545512615776
test,risk_metric,3,queue,5261,0.5600979452783988
test,risk_metric,4,bandwidth,552,0.05876716703928457
